:title_ja,:prefecture_ja,:address_ja,:description_ja,:workday_ja,:tel,:url,:genres_ja,:title_en,:prefecture_en,:address_en,:description_en,:workday_en,:genres_en,:photo_id
ダイナランドゆり園,岐阜県,郡上市高鷲町西洞3035-2,"夏山に広がるゆり360万輪のマウンテンビューを楽しめます♪
57000㎡の広大な園内は徒歩でも散策できますが、ペアリフト（3歳以下は不可）やゆりバスからの眺めも絶景です。また、無料のキッズプールもあります。
開花・見頃は毎年、天候気温等の影響により変動します。因みに今年は開花状況が遅れていたため、この日は入園無料開放中（通常は大人1000円）でした。そして「本日は残念でしたがまた是非いらしてくださいね！」と券売所の方が「ダイナランドゆり園無料ご招待券+びわこ箱館山ゆり園割引券」を手渡してくださりました。せっかくのお心遣いですから開園期間中に都合をつけて再訪したいと思います＊＾ｖ＾＊",,0575-72-6636,,花の名所,Dainarando lily garden,Gifu Prefecture,"Gujo Takasu-cho, Nishibora 3035-2","Guests can enjoy a mountain view of lily 3.6 million wheels spread to mountains in summer ♪
Vast park of 57000㎡ you can stroll on foot, but Pearifuto (under 3 years old is not allowed) View from Yayuri bus is also superb. There is also a complimentary children's pool.
Flowering-full bloom every year, it will fluctuate due to the impact of such weather temperature. By the way since that had been delayed flowering situation this year, this day was in admission free open (usually adult ¥ 1,000). And ""Today, I was sorry but see you please come and need!"" Was Mashi Kudasari handed with people of ticket office is a ""Dainarando lily garden free invitation tickets + Biwako Hakodateyama lily garden discount ticket"". You would like to revisit it with a convenient because it is precious for your good thoughts during Opening period * ^ v ^ *",,Flower of attractions,
坂折棚田,岐阜県,恵那市中野方町坂折,"岐阜県恵那市坂折にある棚田です。棚田面積14.2ha　360枚あるそうです。
棚田100選に選ばれています。駐車場が完備されていて展望所になっています。
整備事業が行われたそうで、とても綺麗な石積み棚田です。
周辺住民の方も気を使われているようで、朝8時から一斉清掃を行っていました。",,-,,特殊地形,Sakaori rice terraces,Gifu Prefecture,Ena Nakanoho cho Sakaori,"This is the rice terraces in the Gifu Prefecture Ena Sakaori. There seems to 360 sheets terraced area 14.2ha.
You have been chosen to rice terraces 100 election. Parking is are equipped and has become a view place.
So improvement project has been carried out, it is very beautiful masonry terraced rice fields.
Seems also being used care towards the surrounding residents, it was doing the cleanup from 8 am.",,Special terrain,
名勝　養浩館庭園,福井県,福井市宝永３丁目１１－３６,福井藩主松平家の別邸。数奇屋風書院建築と回遊式林泉庭園は江戸中期を代表する名園として知られる。建物は福井空襲で焼失したが庭園は旧態を残し国の名勝に指定。古図等を元に復元整備された。,通年,0776-21-0489（福井市立郷土歴史博物館）,http://www.history.museum.city.fukui.fukui.jp/yokokan/,庭園,Scenic beauty Yokokan garden,Fukui Prefecture,Fukui 1706 chome 11-36,"Fukui lord Matsudaira house villa. Sukiya style Shoin architecture and stroll Linsen garden is known as Meien representing the Edo medium term. The building was destroyed in an air raid, but Fukui garden specified in the scenic beauty of the country leaving obsoleted. Restored develop old Figure etc. based.",all year ,Garden,
伊勢神宮・内宮,三重県,伊勢市宇治館町１,2000年の歴史をもつ天照大御神を祀る宮。五十鈴川ほとりの広い神域には御正宮をはじめ日本古来の建築様式の宮社が立ち並ぶ。20年に一度式年遷宮が行われる。,通年,0596-24-1111,http://www.isejingu.or.jp/,神社（稲荷・権現）,Ise-Naiku,Mie Prefecture,Ise Uji-kan cho 1,Miya worshiping Amaterasu with a history of 2000. Miya's beginning traditional Japanese architectural style for your Seimiya lined the Isuzu River wide banks sanctuary. '20 Once Shikinen Sengu is performed.,all year ,Shrine (Inari Gongen),
八事山興正寺,愛知県,名古屋市昭和区八事本町７８,尾張徳川家ゆかりのお寺。五重塔や庭園など文化価値の高い建物が桜や紅葉などの木々に囲まれている。毎月5日と13日には、縁日が、21日は興正寺マルシェが開催され、多くの参拝者で賑わう。,通年,052-832-2801（八事山興正寺）,http://www.koushoji.or.jp/,寺院（観音・不動）,Yagotoyama Xing Seitera,Aichi Prefecture,"Showa-ku Nagoya-shi, Yagotohon-cho, 78","Owari branch Yukari temple. High building of cultural value, such as five-storied pagoda and garden is surrounded by trees, such as cherry blossoms and autumn leaves. The 5th of every month and the 13th, fair is, 21 days Kōshō-ji, Nagoya Marche was held, crowded with many worshipers.",all year ,Temple (Goddess of Mercy-motionless),
でんきの科学館,愛知県,名古屋市中区栄２丁目２－５　電気文化会館　１～４階,展示室と自分の顔を取り込んだキャラクターでゲームができるオームシアターで、電気をはじめ地球環境やエネルギーについて体験しながら学ぶことができる。さまざまな実験や工作も体験できる。,通年,052-201-1026,http://www.chuden.co.jp/e-museum/,学習館・科学館,Science Museum of electrical,Aichi Prefecture,Sakae 2-chome middle Nagoya District 2-5 electrical Cultural Center 1-4 floor,"Game in ohms theater that can in incorporating character the exhibition room and your face, electricity beginning it is possible to learn while experiencing about the global environment and energy. Various experiments and work I can also experience.",all year ,Learning Museum and Science Museum,
一宮地域文化広場,愛知県,一宮市時之島玉振１－１,直径18mのプラネタリウムやフィールドアスレチック、親子プールなどがある。天文施設を備えた宿泊棟もある。プラネタリウムの上映プログラムは季節ごとに入れ替わる。,通年,0586-51-2180,http://www.hamada-sports.com/ichinomiya_chiikibunka/ichi/index.html,その他の体験施設,Ichinomiya local culture Square,Aichi Prefecture,Ichinomiya Tokinoshima ball vibration 1-1,"Planetarium and Field Athletics with a diameter of 18m, there is a parent and child pool. Some accommodation building with astronomical facility. Planetarium screening program of the replaced every season.",all year ,Other experience facility,
鞍ケ池公園,愛知県,豊田市矢並町法沢７１４－５,芝生広場、プレイハウス、植物園、動物園、観光牧場、四季の古里（さと）、若草山、PA園地、PA展望台などがあり、入園料や入場料がすべて無料。,通年,0565-80-5310（鞍ケ池公園管理事務所）,http://www.city.toyota.aichi.jp/division/facilities/j/fc27/index.html,公園・緑地,Kuragaike park,Aichi Prefecture,Toyota City Yanami cho method Sawa 714-5,"Lawn, Playhouse, Botanical Gardens, Zoo, dude ranch, the four seasons Furusato (Sato), Wakakusayama, PA orchards, there is such as PA observatory, entrance fee and admission is free all.",all year ,Parks and nature,
於大公園,愛知県,知多郡東浦町緒川沙弥田２－１,12.1haの敷地を有する公園。丘陵地にあり、春は梅や桜などの花見ができる。芝生広場や健康遊具、バーベキュー、夏期のプールなど、家族で楽しめる施設も数多い。,通年,0562-84-6166,http://www.town.aichi-higashiura.lg.jp/odaipark/index.html,公園・緑地,Odai park,Aichi Prefecture,Chita-gun Higashiura Ogawa Saya fields 2-1,"Park with a site of 12.1ha. It is located in the hills, spring and can cherry-blossom viewing, such as plum and cherry. Lawn and health play equipment, barbecue, such as summer of pool, you can enjoy a family facility also numerous.",all year ,Parks and nature,
名古屋市港防災センター,愛知県,名古屋市港区港明１丁目１２－２０,災害の対処法をバーチャル体験を通して知ることができる施設。震度7クラスの地震や伊勢湾台風3D映像、煙避難体験をしながら災害について学ぶことができる。,通年,052-651-1100,http://www.minato-bousai.jp,学習館・科学館,Nagoya Port Disaster Prevention Center,Aichi Prefecture,"Nagoya Minato-ku, Komei 1-chome, 12-20","Facilities Remedy of disasters can know through the virtual experience. Seismic intensity 7 class of earthquakes and Ise Bay Typhoon 3D video, while the smoke evacuation experience it is possible to learn about the disaster.",all year ,Learning Museum and Science Museum,
龍双ヶ滝,福井県,今立郡池田町東青,福井県で唯一「日本の滝百選」に選ばれている落差60mの滝。龍双坊という僧が神仏像を彫り、一念行願した言い伝えもある。水が岩肌から滑り落ちる姿に目を奪われるはず。,4～11月（冬期は県道通行不可の場合あり）,0778-44-8004,http://www.e-ikeda.jp/,滝,Ryuso~ketaki,Fukui Prefecture,Imadate County Ikeda Higashiao,"Only Waterfalls 60m that is selected in the ""Japan's Top 100 Waterfallss"" in Fukui Prefecture. Monk carved God Buddha statue that Ryusobo, there is also Ichinen Gyo-negai the tradition. should the water is deprived of eyes to figure sliding down from the rock face.",,Waterfalls,
おかざき世界子ども美術博物館,愛知県,岡崎市岡町鳥居戸１－１,世界中の子供たちの絵やピカソやロートレック、山下清などの巨匠たちが10代の頃に描いた作品を収蔵、展示。随時、子どもたちに向けた企画展を開催。造形センターでは、創作体験もできる。,通年,0564-53-3511,http://www.city.okazaki.aichi.jp/1200/1208/1242/p010841.html,美術館・ギャラリー,Okazaki World Children's Art Museum,Aichi Prefecture,Okazaki Okamachi Torii door 1-1,"Children painting and Picasso and Lautrec around the world, and collection works that great masters drew to a teenager, such as Kiyoshi Yamashita, exhibition. At any time, held a special exhibition aimed at children. In modeling center, I can also creative experience.",all year ,Museum Gallery,
サンテパルクたはら,愛知県,田原市野田町芦ヶ池８,農園や小動物園があり、農業がテーマの公園。地元の農・畜産物の販売やウインナーやアイスクリームの手作り体験教室（有料、要予約）も開催。家族やカップルで回れるおもしろ自転車もある。,通年,0531-25-1234,http://www.santepark.com/,観光農園・農場,Santeparuku Tahara,Aichi Prefecture,Tahara Chekhovo Ashigaike 8,"There are farms and small animals zoo, park agriculture theme. Handmade experience classroom (surcharge, reservation is needed) of local agricultural and livestock products sales and wiener and ice cream also held. Is also interesting bicycle Mawareru in family and couples.",all year ,Tourist Farm-Farmhouse,
セラモール　とこなめ焼卸団地協同組合,愛知県,常滑市金山上砂原９９,広大な敷地に広がる陶磁器のショッピングゾーン。それぞれに個性豊かな店舗が軒を連ねている。ガーデン陶器から作家の器まで、いずれも市価の3割引ほどで販売している。,通年,0569-43-7111,http://www.ceramall.or.jp/,ショッピングモール,Seramoru Tokoname Oroshidanchi cooperative,Aichi Prefecture,Tokoname Jinshan above Sunahara 99,"Shopping zone of pottery spread in vast grounds. Quirky store has been chosen eaves to each. From Garden pottery to bowl of writers, both of which sold in about 3 discount of deer.",all year ,Shopping mall,
國盛酒の文化館,愛知県,半田市東本町２丁目２４,昭和47（1972）年まで200年間、酒造りが行われてきた蔵には、昔の酒造りの道具や資料が展示されている。試飲コーナーで利き酒ができるのも楽しみのひとつ。見学は要予約。,通年,0569-23-1499,http://www.nakanoshuzou.jp/sake/index.html,資料館・郷土館,Culture Center of KuniSakari liquor,Aichi Prefecture,"Handa-cho, 2-chome Higashimoto 24","1972 up to 200 years, the elephant that brewing has been done, old sake of tools and materials are on display. One of the fun also can be handed sake tasting corner. Visit the reservation is needed.",all year ,Museum-local Museum,
新舞子マリンパーク,愛知県,知多市緑浜町２,名古屋から近い海水浴場。新舞子駅からファインブリッジを渡れば、長崎県壱岐島より運んだ白い砂浜、ブルー・サンビーチが広がり、ビーチ周辺には芝広場が整備されている。,6月14日～8月31日,0562-56-3980,http://www.marine-park.jp/,海水浴場・湖水浴場,Shinmaiko Marine Park,Aichi Prefecture,Chita City green Hamacho 2,"Beaches close from Nagoya. If cross the fine bridge from Shin-Maiko Station, white sand beach that carried from Nagasaki Prefecture Iki Island, spread Blue Sun Beach, lawn plaza is in place in the surrounding beach.",,"Beach, Lake Baths",
飛騨高山の古い町並,岐阜県,高山市上三之町、上二之町、下二之町、大新町ほか,400年ほど前に、高山城主金森長近が整備した城下町。3つの（安川通りをはさんで上、下）南北通り筋を中心とした町並みは、風情をただよわせている。,通年,0577-32-3333,,伝統的町並み・家並み,Takayama of old streets,Gifu Prefecture,"Takayama Kamisan'no Town, Kaminino Town, Shimonino Town, Daxin Town, other","To about 400 years ago, the castle town of Takayama castle Kanamori Nagachika was established. Three (top across the street Yasukawa, below) town with a focus on north-south street muscle, have drifted taste.",all year ,Traditional town-houses,
伊賀流忍者博物館,三重県,伊賀市上野丸之内１１７,上野公園にあり、くノ一や忍者が案内する忍者屋敷、歴史や資料を展示する忍術体験館、忍者伝承館からなる。忍術ひろばでは迫力満点の忍者ショーがくり広げられ手裏剣打ちも体験できる。,通年,0595-23-0311,http://www.iganinja.jp/,博物館,Iga-ryu Ninja Museum,Mie Prefecture,Iga Ueno Marunouchi 117,"It is located in Ueno Park, ninja mansion Kunoichi and ninja guide, ninjutsu Experience Hall to showcase the history and materials, consisting of ninja lore museum. Shuriken beating Ninja show compelling is waged in ninjutsu Square can also experience.",all year ,Museum,
関ヶ原古戦場,岐阜県,不破郡関ケ原町一帯,徳川家康率いる東軍と石田三成率いる西軍の歴史に残る天下分け目の合戦の舞台。開戦地をはじめ、徳川家康や石田三成などの陣跡には石碑が建てられている。,通年,0584-43-1112,http://www.kanko-sekigahara.jp/,史跡など,Sekigahara Battlefield,Gifu Prefecture,Fuwa County Sekigahara whole area,"Stage of battle of decisive in the history of Western forces led by Higashi-gun and Mitsunari Ishida, led by Tokugawa Ieyasu. Including the war areas, have been erected monument to the camp trace, such as Tokugawa Ieyasu and Mitsunari Ishida.",all year ,Historic sites such as,
大井川鐵道,静岡県,島田市金谷東２丁目１１１２－２,大井川沿いに走るSL列車の旅。SL列車の運転区間新金谷から千頭駅までの約1時間20分。車両内は昔ながらの座席でレトロな雰囲気。車中で食べる弁当の味も格別だ。,通年,0547-45-4112（大井川鐵道営業部）,http://www.oigawa-railway.co.jp/,観光鉄道（トロッコ等）,Ōigawa Railway,Shizuoka Prefecture,Shimada Kanaya East 2-chome 1112-2,SL train journey that runs along the Oi River. About 1 hour and 20 minutes from the SL train operation interval Shinkanaya of Sen-to Train Station. Retro atmosphere in traditional seat in the vehicle. Taste of lunch to eat in the car also a exceptional.,all year ,"Scenic Railway (truck, etc.)",
日泰寺,愛知県,名古屋市千種区法王町１丁目１,タイ王国から寄贈された、釈尊の遺骨と釈尊金銅仏を祀るために明治37（1904）年に創建された寺院。釈尊の遺骨を安置する泰安塔はガンダーラ様式で高さ約15m。,通年,052-751-2121,,寺院（観音・不動）,Nittaiji Temple,Aichi Prefecture,"Chikusa-ku, Nagoya pope-cho 1-chome 1","Was a gift from the Kingdom of Thailand, Meiji in order to enshrine the ashes and Buddha gilt bronze Buddha Buddha 37 (1904) year foundation has been temple. Taean tower that enshrined the remains of Buddha height of about 15m in the Gandhara style.",all year ,Temple (Goddess of Mercy-motionless),
キユーピー　挙母工場（見学）,愛知県,豊田市日南町２丁目１,マヨネーズができるまでの映画鑑賞とマヨネーズドレッシングの製造工程が見学できる。中でも、1分間に600個の卵を割る機械は一見の価値あり。,通年,0565-34-0221（見学予約の受付時間は9:00～12:00、13:00～16:00（工場休業日は除く））,http://www.kewpie.co.jp/know/openkitchen/koromo_01.html,その他の見学施設,Kewpie Koromo Plant (tour),Aichi Prefecture,Toyota City Nichinan 2-chome 1,"Watching movies and mayonnaise dressing of manufacturing process until mayonnaise can be visited. Above all, dividing the 600 eggs per minute machine is worth a look.",all year ,Other tour facility,
満天星亭,愛知県,尾張旭市霞ヶ丘町南２９８,庭園のドウダンツツジの美しさが名前の由来。春は白い可憐な花、秋は深紅の紅葉がみごと。庭のある建物。春と秋の一般公開の期間には、多くの人が訪れる。,通年,0561-53-1144,,その他の文化施設,Mantenboshi Tei,Aichi Prefecture,Owariasahi Kasumigaokachominami 298,"Derived from the beauty of the Mantenboshi of garden of name. Spring white pretty flowers, autumn is impressive sink of autumn leaves. Building with garden. In the spring and autumn period of the general public, a lot of people visit.",all year ,Other cultural facilities,
日本ガイシスポーツプラザ,愛知県,名古屋市南区東又兵ヱ町５丁目１－１６,競技場や温水プールなどがある総合体育施設。最大収容人数1万人の日本ガイシホールではコンサートをはじめ、展示会や各種スポーツ大会などさまざまなイベントが行われる。,通年,052-614-3111,http://www.nespa.or.jp/,複合施設,NGK Sports Plaza,Aichi Prefecture,"Nagoya, Minami-ku, Higashimatabe cho, 5-chome, 1-16","Stadium and comprehensive physical education facilities heated pool, and the like. Including the concert at Max persons 10,000 NGK Hall, various events, such as exhibitions and various sporting events is performed.",all year ,Complex,
食と健康の館,愛知県,知多郡美浜町小野浦西川１,知多半島・美浜の自然を活かした体験型観光施設。人気の塩づくり体験など、季節ごとのイベントが盛りだくさんだ。,通年,0569-83-3600,http://www.shio-yakata.com/,その他の体験施設,House of Food and Health,Aichi Prefecture,Chita-gun Mihama Nishikawa Onoura 1,"Chita Peninsula, Mihama natural hands-on tourist facilities that take advantage of. Such as the popular salt making experience, but plenty events per season.",all year ,Other experience facility,
碧南市明石公園,愛知県,碧南市明石町６－１１,新遊具エアファイターが人気。キッズコースターやおとぎ列車も好評だ。大きな芝生広場もあるので、弁当持参でピクニック気分も味わえる。,通年,0566-48-1722,http://www.katch.ne.jp/~kanrikk/index.htm,遊園地,Hekinan Akashi Park,Aichi Prefecture,"Hekinan Akashi-cho, 6-11","New play equipment air fighter is popular. Kids coaster and fairy train also a popular. Because there is a large lawn, I enjoy a picnic lunch in the mood bring.",all year ,Amusement park,
豊橋市二川宿本陣資料館,愛知県,豊橋市二川町中町６５,東海道五十三次で33番目の宿場町にある資料館。東海道、二川宿、本陣のコーナーがあり、江戸時代の旅や街道、大名行列を知ることができ、現存する本陣と旅籠屋も見学できる。,通年,0532-41-8580,http://www.toyohaku.gr.jp/honjin,資料館・郷土館,Toyohashi Futagawa inn Honjin museum,Aichi Prefecture,"Toyohashi Futagawa-cho, Naka 65","Museum in the 33rd post town in The Fifty-three Stations of the Tōkaidō. Tokaido, Futagawa inn, there is a corner of Honjin, Edo period of journey or highway, it is possible to know the daimyo, existing honjin and Hatago shop can also visit.",all year ,Museum-local Museum,
八丁味噌の郷（見学）,愛知県,岡崎市八帖町往還通６９,正保2（1645）年創業の八丁味噌の老舗。天然醸造の味噌が仕込まれた大きな杉桶が並ぶ熟成蔵を見学することができる。,通年,0564-21-1355,http://www.kakuq.jp/home/build.htm,その他の見学施設,Hatcho miso of Township (tour),Aichi Prefecture,"Okazaki Hachi-jo cho, Okan communication 69",Shoho 2 (1645) Hatcho miso of long-established year founded. Miso natural brewing so that it is possible to visit the aging built a large cedar tub lined that was charged.,all year ,Other tour facility,
あおいパーク,愛知県,碧南市江口町３丁目１５－３,地元の新鮮な野菜の産直市や農産物をふんだんに使ったレストラン、ハーブのお風呂、観賞温室、碧南の農業を紹介する映像コーナーなどがある。体験農園では農産物の収穫ができる。,通年,0566-43-0511,http://www.city.hekinan.aichi.jp/aoi/,観光農園・農場,Aoi Park,Aichi Prefecture,Hekinan Eguchi-cho 3-chome 15-3,"Restaurant with plenty of direct marketing City and agricultural products of local fresh vegetables, herbs bath, ornamental greenhouse, there is such as video corner to introduce agricultural Hekinan. Can harvest of agricultural products in the experience farm.",all year ,Tourist Farm-Farmhouse,
蒲郡市生命の海科学館,愛知県,蒲郡市港町１７－１７,46億年の地球の歴史がテーマ。本物の隕石や化石に触ることが出来る科学館。展示ケース4台に置かれたカンブリア紀の化石やイワチオサウルス、ヒゲクジラの化石は圧巻。,通年,0533-66-1717,http://www.city.gamagori.lg.jp/site/kagakukan/,学習館・科学館,Sea Science Museum of Gamagori life,Aichi Prefecture,Gamagori port city 17-17,"4.6 billion years of Earth's history theme. Science Museum which can touch a real meteorite and fossil. Was placed in four display cases Cambrian fossils and rocks thio Dinosaur, Fossil of baleen a masterpiece.",all year ,Learning Museum and Science Museum,
あま市七宝焼アートヴィレッジ,愛知県,あま市七宝町遠島十三割２０００,七宝焼に特化した施設。館内では、七宝焼の名品鑑賞や制作工程の見学、アクセサリー類の制作体験ができるほか、アクセサリーや花瓶などの製品が展示販売されている。カフェも併設している。,通年,052-443-7588,http://www.shippoyaki.jp/,資料館・郷土館,Kaifu City cloisonne Art Village,Aichi Prefecture,Kaifu City Shippo Ento thirteen percent 2000,"Facility that specializes in cloisonne. The hotel, tour of cloisonne masterpieces appreciation and production process, in addition to can production experience of accessories, products such as accessories and vases have been exhibited and sold. Cafe I have an on-site.",all year ,Museum-local Museum,
ノリタケの森,愛知県,名古屋市西区則武新町３丁目１－３６,クラフトセンターではノリタケ製品の製造工程をトータルに見学できる。オールドノリタケなど初期の製品の展示もされている。絵付け体験コーナーもある。,通年,052-561-7290,http://www.noritake.co.jp/mori/,資料館・郷土館,Noritake Garden,Aichi Prefecture,Nishi-ku Nagoya Noritakeshin cho 3-chome 1-36,"In Craft Centre I can tour the manufacturing process of Noritake products in total. Old Noritake of early products, such as exhibition has also been. Painting experience corner also.",all year ,Museum-local Museum,
岡崎公園,愛知県,岡崎市康生町５６１－１,天守閣のほか三河武士のやかた家康館、家康産湯の井戸、二の丸能楽堂、家康公遺言碑、からくり時計塔など見どころが多数。桜やツツジ、サツキなどの花が咲き誇る。,通年,0564-24-2204,,公園・緑地,Okazaki Park,Aichi Prefecture,Okazaki Yasuo cho 561-1,"In addition to Mikawa samurai Tachi Ieyasu Museum of the castle tower, well of Ieyasu first bath, Ninomaru Noh Theater, Ieyasu testament monument, attractions such as trick clock tower number. Cherry blossoms and azaleas, flowers such as Satsuki bloom.",all year ,Parks and nature,
愛知県民の森,愛知県,新城市門谷鳳来寺７－６０,572haの森林の中に宿泊施設やキャンプ場、森の展示館などがある。ハイキングコースをはじめ、渓流散策、バードウォッチング、紅葉が素晴らしい。レクリエーション、アウトドアには事欠かない。,通年,0536-32-1262,http://www6.ocn.ne.jp/~kenmin/,その他のパーク・施設,Forest of Aichi Prefectural,Aichi Prefecture,Shinshiro Mon'ya Horaitera 7-60,"Accommodation and camping in the forest of 572ha, there is such as forest Exhibition Hall. Including hiking trails, mountain stream walks, bird watching, and autumn leaves great. Recreation, the outdoors there is no shortage.",all year ,Other Park and facilities,
三州足助屋敷,愛知県,豊田市足助町飯盛３６,館内は、昭和初期の豪農をモデルに再現されており、昔の生活をみることができる。また施設内では職人が実演しており、会話をしながら生活や手仕事を学ぶことができる。,通年,0565-62-1188,http://www.asuke.aitai.ne.jp/~yashiki/,史跡など,Three State Asuke mansion,Aichi Prefecture,Toyota City Asuke Iimori 36,"The hotel has been reproduced the early Showa of wealthy farmer in the model, it is possible to see the old life. Also in the facility has been craftsmen demonstration, it is possible to learn the life and handiwork while the conversation.",all year ,Historic sites such as,
半田運動公園,愛知県,半田市池田町３丁目１－１,ローラーすべり台などがある「ちびっこ広場」、夏場に子どもでにぎわう「ちゃぷちゃぷ池」などがある。また、サッカーや野球ができるグラウンドや、テニスコートも充実。,通年,0569-27-6663,http://www.city.handa.lg.jp/contents/50030036.html,公園・緑地,Solder Sports Park,Aichi Prefecture,Handa Ikeda 3-chome 1-1,"Roller slide, etc. ""Chibikko Square"", summer in crowded with children, etc. ""Chapuchapu pond"". In addition, and ground that can football and baseball, tennis courts enhancement.",all year ,Parks and nature,
大須観音,愛知県,名古屋市中区大須２丁目２１－４７,正式には北野山真福寺宝生院といい、本堂にはご本尊聖観世音菩薩が祀られている。下町情緒が漂う商店街には、古着店に大衆的なレストラン、ディスカウントショップがひしめき合う。,通年,052-231-6525,http://www.osu-kannon.jp,寺院（観音・不動）,Osu Kannon,Aichi Prefecture,"Naka-ku, Nagoya Osu 2-chome, 21-47","Officially called the Kitano Mountain Shinfukuji Hosho Council to have is your Buddha St. Kanzeon Bosatsu enshrined in the main hall. The shopping district downtown emotional drifts, popular restaurants, the discount shops crowded into old clothes shop.",all year ,Temple (Goddess of Mercy-motionless),
弘法山　金剛寺,愛知県,蒲郡市三谷町南山１４,昭和13（1938）年、篤信者の財閥が子授を願い、子安弘法大師像を建立。子授以外にも安産、子育、交通安全、進学達成など、さまざまな祈願にご利益がある。,-,0533-69-7379,,寺院（観音・不動）,Mount Kōbō Yasaka Kōshin-dō,Aichi Prefecture,"Gamagori Mitani-cho, Nanshan 14","1938, zaibatsu of piety who wish Ko授, and erected the Kobo Daishi image Koyasu. Child 授以 outside also easy delivery, childcare, transportation safety, such as academic achievement, there is a divine favor in various prayer.",,Temple (Goddess of Mercy-motionless),
足羽山公園,福井県,福井市足羽上町,福井市街地を一望できる、標高116.8mの足羽山。自然史博物館やミニ動物園、遊園地、足羽神社など見どころも多く、大人も子供も楽しめる。春には山全体に植えられた約3500本の桜が咲き誇る。,通年（アジサイの見頃は6月中旬、桜の見頃は4月上旬～中旬）,0776-20-5346,http://www.fukuicity-navi.com/010_search/spot/detail.php?id=22&cate=2,公園・緑地,Asuwayama park,Fukui Prefecture,Fukui Asuwakami cho,"Overlooking the Fukui city, at an altitude of 116.8m Asuwayama. Natural History Museum and the mini zoo, amusement park, also include such Asuwa shrine many, both adults and I enjoy children. About 3500 cherry trees planted in the entire mountain is in full bloom in the spring.",all year ,Parks and nature,
名古屋市市政資料館,愛知県,名古屋市東区白壁１丁目３,大正末期の面影を残す近代建築を忠実に表現したネオ・バロック様式の建物で、国の重要文化財に指定されている。名古屋市の公文書館として市政に関する資料などを保存、公開している。,通年,052-953-0051,http://www.city.nagoya.jp/shisei/category/52-7-0-0-0-0-0-0-0-0.html,資料館・郷土館,Nagoya City Archives,Aichi Prefecture,"Higashi-ku, Nagoya white wall 1-chome 3","Building of faithfully represent the neo-baroque modern architecture to leave the vestiges of the late Taisho, it has been designated as an important cultural property of the country. Save such material on municipal administration as Nagoya City Archives, you are publishing.",all year ,Museum-local Museum,
近鉄パッセ,愛知県,名古屋市中村区名駅１丁目２－２,レディースファッション約70店を展開するほか地下1階には弁当やスイーツなどが集合。また、タワーレコードや星野書店などの大型専門店もそろっているので、欲しいアイテムが見つかるはず。,通年,052-582-3411,http://www.passe.co.jp,デパート,Kintetsu Passe,Aichi Prefecture,"Nakamura-ku, Nagoya, Meieki 1-chome 2-2","Such as lunch and Suites is set on the first floor addition to the basement to expand the ladies fashion about 70 shops. Also, because you already have also large specialty stores such as Tower Records and Hoshino bookstore, find a want item should.",all year ,Department store,
知立公園,愛知県,知立市西町神田町知立神社外苑,5月下旬から6月下旬に開催される花しょうぶまつりで有名な公園。祭り期間中は3万余株の紫、白、青の花が咲き乱れ、園内では茶会や宝物展などが催される。,通年（花の見頃は6月上旬～中旬）,0566-83-1111,,花の名所,Chiryu park,Aichi Prefecture,"Chiryu west-cho, Kanda-cho, Chiryu shrine Gaien","Famous park from May late in the Iris Festival to be held in late June. Festival period during 30 000 more than shares of purple, white, bloom blue flowers, such as tea and treasure exhibition hosted in the park.",all year ,Flower of attractions,
リスの森　飛騨山野草自然庭園,岐阜県,高山市松倉町２３５１－７,シマリス、エゾリスの2種類のリスとふれあえ、園内で販売のリスのエサを手の上で与えれば食べることもある。併設の飛騨山野草自然庭園では遊歩道を散策しながら珍しい草花を観察できる。,3月中旬～11月,0577-33-9232,,動物園,Squirrel forest Hida mountain wildflower nature garden,Gifu Prefecture,Takayama Matsukura cho 2351-7,"Chipmunk, and Fureae two types of squirrel of Ezorisu, sometimes to eat if you give in on the hand the bait sales of squirrel in the park. The Hida mountain wildflowers natural garden of the hotel can be observed the rare flowers while walking the promenade.",,Zoo,
リニア・鉄道館～夢と想い出のミュージアム～,愛知県,名古屋市港区金城ふ頭３丁目２－２,東海道新幹線を中心に、在来線から超電導リニアまでの車両を展示し、「高速鉄道技術の進歩」を紹介。シミュレータや精緻な鉄道ジオラマも設置し、子どもから大人まで体験しながら楽しく学べる。,通年,050-3772-3910,http://museum.jr-central.co.jp,博物館,Of linear and Railway Park - Dreams and Memories Museum ~,Aichi Prefecture,Nagoya Minato Kinjofuto 3-chome 2-2,"Centered on the Tokaido Shinkansen, exhibited vehicle from conventional lines to superconducting linear, and introduce the ""progress of high-speed rail technology."" Also installed simulator and sophisticated railway diorama, I can learn fun while experiencing from children to adults.",all year ,Museum,
綿ヶ滝,石川県,白山市下吉谷町,手取峡谷の一番の見どころ。落差が32mある滝を、水しぶきが飛んでくるほど近くで見ることができる。周辺は遊歩道が整備されている。,通年,076-254-2011,http://www.gogo8934.jp/iframe/park/tedori_valley.html,滝,Wata~ketaki,Ishikawa Prefecture,Hakusan Shimoyoshitani cho,"Most of the attractions of the proceeds canyon. The Waterfalls drop is that some 32m, it is possible to close look at about coming flying spray. Peripheral has been developed promenade.",all year ,Waterfalls,
